id	filename	md5	size	state
b4e0d50a-c26d-413e-aa77-399d6e92e96d	c1ed8811-73ae-47b9-a390-607f5ba8fcba.wxs.aliquot_ensemble_masked.maf.gz	ffc088d4cedfdafed3eb894ffd5832ba	18903	released
e9af4ef4-6734-43f7-877e-e67b626ec785	5cafbd32-22e8-4627-8cc5-af88a7a4de2d.wxs.aliquot_ensemble_masked.maf.gz	613b0367f8df8dbab69359c8884735bb	21976	released
c508f671-d511-4e04-a955-48e8e6268396	bca245d6-09df-48d0-9845-b31a7b4ebf11.wxs.aliquot_ensemble_masked.maf.gz	944ba07b49cdb3dccddf96c19ebe07fc	14071	released
8ed47994-567f-492e-aad6-cd62d3ff9b1b	1ea21002-a85f-4b9c-9978-85485d45b78f.wxs.aliquot_ensemble_masked.maf.gz	95cb96a71b3fd6d70a42d13ead93418d	13080	released
f9bf9438-a5e6-4c22-8c93-c8173cf368d3	c0b8139b-5df2-4db8-bb8b-c0205a67a392.wxs.aliquot_ensemble_masked.maf.gz	98acc8a10f95b4f9629e4aa22f2a910c	40577	released
05609e73-45da-4e9f-b805-6c24a666cd16	9f78d690-db76-49ad-b90b-a1a8d45542e1.wxs.aliquot_ensemble_masked.maf.gz	32f26f85347e6f5888673c7708dfb460	15973	released
dfbf49c2-e4e0-4d66-9abf-ad7a1ca05708	efb9d753-0936-417d-ad54-f88d9f7ab01e.wxs.aliquot_ensemble_masked.maf.gz	47771d30afc96676de077bb4a8927586	34448	released
e007f75b-2389-4b68-95c2-7a84257fd241	b9ec5332-e422-453d-b3e0-5254bb88934d.wxs.aliquot_ensemble_masked.maf.gz	8623d46cbe33bff1f2aed97e22cde12c	13373	released
9be76169-de89-4025-8dc9-a3b41ac7e27a	78192f60-a160-41e0-b848-cbf13c1301d9.wxs.aliquot_ensemble_masked.maf.gz	b50ee28f9228a797e9b4f686722e7bed	3602	released
a4af9a72-6bbf-48f3-9552-4fda4590fd9e	95916db3-dad7-4d8f-ab68-8342284f765b.wxs.aliquot_ensemble_masked.maf.gz	44a6d26933debc04f8b2779f696617cd	26854	released
2222cb0a-59a2-41ac-9ad2-eaa3bf03e7c3	d15a2772-6752-414d-8d5a-89fc36cc21c1.wxs.aliquot_ensemble_masked.maf.gz	7bdeff44fc21bce566bdbceff68c4c8b	9963	released
14181b20-45f0-4ffc-be95-f7498eebfdf0	596c7aaf-4119-4b2f-8207-20531e0db945.wxs.aliquot_ensemble_masked.maf.gz	18b20236b401e1d858b9603775b066b8	13496	released
a5e94d6b-5ee9-45ac-894b-5af3ab27e87f	911df7f3-c231-4174-b941-9cc054a81e77.wxs.aliquot_ensemble_masked.maf.gz	6dd7ccac37508cbd8c64c10a09502740	9101	released
cc5dd903-62e5-4ead-b444-634c853e2ac3	876ccf1b-71b7-4e80-8c41-bce836ab79ec.wxs.aliquot_ensemble_masked.maf.gz	36ac9a67241c061ad4702454f4b1634c	12795	released
56d15f8e-3788-4715-9ec8-853a107679a4	217f6db7-f618-46c1-9d61-fed963406e71.wxs.aliquot_ensemble_masked.maf.gz	8a9a8f2a84ba6ffd3e8cfa9d09a978f8	23487	released
